,AUC (image),AUC (pixel),AUPRO
bottle,1.0,0.8196686980740711,0.5789678121008102
cable,0.8113300492610837,0.6815640482515425,0.5411603128319207
capsule,0.9043940125543216,0.7565089031754944,0.3959659320837366
hazelnut,0.9378571428571428,0.9054232260060744,0.6798225094383443
metal_nut,0.9310850439882697,0.5472412138263166,0.31944151953939276
pill,0.8838612368024132,0.5682047843014193,0.2632129770855635
screw,0.7320261437908497,0.5961536392343335,0.2589298296206948
toothbrush,0.9,0.8558200185051638,0.462196582825011
transistor,0.9212499999999999,0.8190914354129719,0.516530887820216
zipper,0.9833984375,0.8193944681710184,0.6058056172656181
average,0.9005202066754082,0.7369070434958405,0.46220339806113075
