,AUC (pixel),AUPRO
bottle,0.8896169121480033,0.8351115665500829
cable,0.6226855296138887,0.6571830684349091
capsule,0.6815187130001283,0.269490274255285
carpet,0.9897356162198828,0.9421436101384475
grid,0.8649490773176023,0.7764565544986738
hazelnut,0.9582196176130662,0.9079588179081995
leather,0.9829478479300097,0.933792115217068
metal_nut,0.5374841097094208,0.5880215040223903
pill,0.9234208565933713,0.6115350286775628
screw,0.9073264356168688,0.6518198494741424
tile,0.9101982333483082,0.7690205132919516
toothbrush,0.8369149508095752,0.590555626136912
transistor,0.6324719181621008,0.41641299653048475
wood,0.8755498930677558,0.6468494504981169
zipper,0.9752183238964474,0.9022728394675078
average,0.8392172023364287,0.6999082543401155
