,AUC (image),F1 (image),AUC (pixel),F1 (pixel),AUPRO
bottle,1.0,0.9762830122332647,0.8164413214076488,0.9221791898883184,0.6187126420601682
cable,0.8133825944170772,0.6958148854961831,0.666166352415537,0.954283297455886,0.44654006576993205
capsule,0.8134556574923547,0.6035305030207513,0.6941040386910391,0.97712862539125,0.30945336001866697
carpet,0.5834670947030498,0.6722306016423664,0.5982193486275638,0.9399298788244009,0.40891644320588455
grid,0.9016986911723754,0.7937824551685937,0.7672580851299294,0.9701282269329016,0.5543187750486017
hazelnut,0.9545238095238094,0.9154671776847786,0.5191285583337526,0.9444376953040988,0.20363834949902615
leather,0.7837409420289855,0.7727948247224409,0.5913396204696459,0.9630616818198479,0.212297543962769
metal_nut,0.971326164874552,0.9109068322981365,0.8120834683838956,0.8490079314603216,0.4406194997889828
pill,0.8580945198592258,0.5786255005005004,0.8536725946020286,0.9511715289713129,0.3110429944079707
screw,0.6199813258636788,0.25493294945715517,0.5141977255499213,0.9904486046571922,0.17333337486316283
tile,0.9721019721019721,0.9316239316239315,0.717407172615057,0.9054633904882131,0.462093211787629
toothbrush,0.8703703703703703,0.7261904761904759,0.7818102741569583,0.970997280416167,0.2883405223590501
transistor,0.8961111111111112,0.7990752416981927,0.7750818231200953,0.9318772181773612,0.42247972891548075
wood,0.939766081871345,0.8349378111737799,0.7252460136289827,0.9356808686292611,0.3926976692693808
zipper,0.9814453125,0.9526105753242434,0.7294377790673762,0.9576925630208719,0.44661111978195134
average,0.8639643765259938,0.7612537852156529,0.7041062784132954,0.944232532095827,0.37940635338257706
