,AUC (image level),F1 (image level),AUPRO (image level)
bottle,1.0,0.9762830122332647,0.6187126420601682
cable,0.8236412221819062,0.6962253568089745,0.4281528296750643
capsule,0.8320233271422772,0.6112645353350997,0.3190131963281516
grid,0.9025341130604289,0.7937824551685937,0.5543187750486017
metal_nut,0.971326164874552,0.9109068322981365,0.4405659790404967
pill,0.8539983164983166,0.5163754861026232,0.294588668470619
screw,0.7346754192268304,0.31668184930390036,0.19327827051012422
tile,0.9725829725829728,0.9316239316239315,0.462093211787629
toothbrush,0.875,0.7261904761904759,0.2883405223590501
transistor,0.8956944444444445,0.7990752416981927,0.422479728915484
zipper,0.9827047983944537,0.9608559978253841,0.4767764933200102
average,0.8949255253096527,0.7490241067807797,0.40893821068321806
