,AUC (image level),F1 (image level),AUPRO (image level)
bottle,0.9833333333333333,0.9646754915293618,0.5358429992289728
cable,0.760230089480725,0.6776955036517854,0.41653180448108507
capsule,0.7406537542304564,0.48063278582143526,0.2565199082966623
grid,0.883876357560568,0.7699873896595207,0.5003883633515744
metal_nut,0.9024112088628217,0.7743636552704248,0.4007006841023976
pill,0.7141823743386243,0.42957707633830927,0.24280847538737615
screw,0.5993513989584714,0.36758934082465844,0.1923370244998455
tile,0.9407166907166907,0.8540130480958884,0.5317100045913515
toothbrush,0.8111111111111112,0.6369747899159665,0.3357723701426795
transistor,0.8541666666666666,0.7405686469742229,0.4082710004662924
zipper,0.9254679388300078,0.8541747481278875,0.5415037616833472
average,0.8286819021899525,0.6863865887463146,0.39658058147559866
