,AUC (image),F1 (image),AUC (pixel),AUPRO
bottle,0.973015873015873,0.9384615384615386,0.8415945531330862,0.6266546574861354
cable,0.7981116584564859,0.7438016528925621,0.6507743716353351,0.459813703434892
capsule,0.7061001126669887,0.15254237288135594,0.5452878204324928,0.19591467575130897
carpet,0.979266987693954,0.858974358974359,0.6957924404855693,0.5869220310990428
grid,0.9367864104706208,0.9345794392523364,0.7838553479555008,0.6434135507149137
hazelnut,0.9788095238095238,0.864,0.7780258073491306,0.6172718550826527
leather,0.9668251811594203,0.9239766081871346,0.8985027517320664,0.8074989335043005
metal_nut,0.9318996415770608,0.8322981366459629,0.7508477032450861,0.3652020436504657
pill,0.8081950729009552,0.47761194029850745,0.8699102976969592,0.2856416676878126
screw,0.7995642701525055,0.9203539823008849,0.6734573059564294,0.4568411206247891
tile,0.9615199615199614,0.8917197452229301,0.7217178282154743,0.534672445162938
toothbrush,0.8583333333333334,0.8461538461538461,0.8958391854141029,0.47832555827286344
transistor,0.7999999999999999,0.591304347826087,0.7224467583644115,0.5208947198510014
wood,0.9599415204678362,0.9380530973451328,0.6109462930742786,0.50066824122059
zipper,0.9827473958333334,0.927536231884058,0.9003559699865162,0.7147616248068279
average,0.8960744628705236,0.7894244865551131,0.7559569623117625,0.5196331218900356
