,AUC,Accuracy,F1 good,F1 polygons,F1 rectangles,F1 line
bottle,0.99,0.83,0.57,0.97,0.80,0.89
cable,0.99,0.93,0.97,0.98,0.90,0.82
capsule,0.99,0.88,0.80,0.90,0.90,0.90
carpet,1.00,0.95,0.92,0.94,0.97,0.96
grid,1.00,0.88,0.88,0.91,0.85,0.89
hazelnut,0.98,0.89,0.78,0.94,0.84,0.98
leather,1.00,1.00,0.99,0.99,1.00,1.00
metal_nut,1.00,0.97,0.98,0.95,0.98,0.98
pill,0.99,0.86,0.72,0.96,0.88,0.87
screw,1.00,0.88,0.92,0.84,0.78,0.96
tile,1.00,0.90,0.86,0.93,0.87,0.93
toothbrush,0.99,0.93,0.90,0.93,0.92,0.95
transistor,1.00,0.96,0.96,0.93,0.96,0.98
wood,1.00,0.96,0.99,0.93,0.93,0.99
zipper,0.99,0.91,0.82,0.90,0.91,0.98
average,1.00,0.91,0.87,0.93,0.90,0.94
