,AUC (pixel),AUPRO
bottle,0.936798846553394,0.8671098971172635
cable,0.8468730420655379,0.6054970942431798
capsule,0.9300014820878703,0.8025982621145293
hazelnut,0.9675481705754844,0.9367809941599724
metal_nut,0.7940950761512119,0.637261457472463
pill,0.9448187822879469,0.873629183280257
screw,0.9528215603261017,0.8242133736249051
toothbrush,0.9152229414385014,0.6477730940242196
transistor,0.6785702488940164,0.4263827474565026
zipper,0.9799248154506734,0.9301627808872456
average,0.8946674965830738,0.7551408884380537
